韻符↓  聲符→,韻符↓  聲符→.1,ㄅ  b,ㄆ  p,ㄇ  m,ㄈ  f,ㄉ  d,ㄊ  t,ㄋ  n,ㄌ  l,ㄍ  g,ㄎ  k,ㄏ  h,ㄐ  j,ㄑ  q,ㄒ  x,ㄓ  zh,ㄔ  ch,ㄕ  sh,ㄖ  r,ㄗ  z,ㄘ  c,ㄙ  s,Unnamed: 23
ㄨㄟ  uei  (ui),ㄨㄟ  (威)  wei,,,,,ㄉㄨㄟ  (對)  dui  duei  tui,ㄊㄨㄟ  (推)  tui  tuei  t'ui,,,ㄍㄨㄟ  (規)  gui  guei  kuei,ㄎㄨㄟ  (虧)  kui  kuei  k'uei,ㄏㄨㄟ  (灰)  hui  huei  hui,,,,ㄓㄨㄟ  (追)  zhui  jhuei  chui,ㄔㄨㄟ  (吹)  chui  chuei  ch'ui,ㄕㄨㄟ  (水)  shui  shuei  shui,ㄖㄨㄟ  (銳)  rui  ruei  jui,ㄗㄨㄟ  (最)  zui  zuei  tsui,ㄘㄨㄟ  (崔)  cui  cuei  ts'ui,ㄙㄨㄟ  (雖)  sui  suei  sui,合  口  呼
ㄨㄢ  uan,ㄨㄢ  (灣)  wɑn,,,,,ㄉㄨㄢ  (端)  duan  tuan,ㄊㄨㄢ  (團)  tuan  t'uan,ㄋㄨㄢ  (暖)  nuan,ㄌㄨㄢ  (亂)  luan,ㄍㄨㄢ  (官)  guan  kuan,ㄎㄨㄢ  (寬)  kuan  k'uan,ㄏㄨㄢ  (歡)  huan,,,,ㄓㄨㄢ  (專)  zhuan  jhuan  chuan,ㄔㄨㄢ  (川)  chuan  ch'uan,ㄕㄨㄢ  (栓)  shuan,ㄖㄨㄢ  (軟)  ruan  juan,ㄗㄨㄢ  (鑽)  zuan  tsuan,ㄘㄨㄢ  (竄)  cuan  ts'uan,ㄙㄨㄢ  (酸)  suan,合  口  呼
ㄨㄣ  uen  (un),ㄨㄣ  (溫)  wen  wun  wen,,,,,ㄉㄨㄣ  (噸)  dun  tun,ㄊㄨㄣ  (吞)  tun  t'un,,ㄌㄨㄣ  (論)  lun,ㄍㄨㄣ  (棍)  gun  kun,ㄎㄨㄣ  (困)  kun  k'un,ㄏㄨㄣ  (昏)  hun,,,,ㄓㄨㄣ  (準)  zhun  jhun  chun,ㄔㄨㄣ  (春)  chun  ch'un,ㄕㄨㄣ  (順)  shun,ㄖㄨㄣ  (潤)  run  jun,ㄗㄨㄣ  (尊)  zun  tsun,ㄘㄨㄣ  (村)  cun  ts'un,ㄙㄨㄣ  (孫)  sun,合  口  呼
ㄨㄤ  uang,ㄨㄤ  (汪)  wɑnɡ,,,,,,,,,ㄍㄨㄤ  (光)  guang  kuang,ㄎㄨㄤ  (框)  kuang  k'uang,ㄏㄨㄤ  (荒)  huang,,,,ㄓㄨㄤ  (莊)  zhuang  jhuang  chuang,ㄔㄨㄤ  (窗)  chuang  ch'uang,ㄕㄨㄤ  (雙)  shuang,,,,,合  口  呼
ㄨㄥ  ueng  ong,ㄨㄥ  (翁)  weng  wonɡ  weng,,,,,ㄉㄨㄥ  (東)  dong  tung,ㄊㄨㄥ  (通)  tong  t'ung,ㄋㄨㄥ  (農)  nong  nung,ㄌㄨㄥ  (龍)  long  lung,ㄍㄨㄥ  (公)  gong  kung,ㄎㄨㄥ  (空)  kong  k'ung,ㄏㄨㄥ  (紅)  hong  hung,,,,ㄓㄨㄥ  (中)  zhong  jhong  chung,ㄔㄨㄥ  (充)  chong  ch'ung,,ㄖㄨㄥ  (容)  rong  jung,ㄗㄨㄥ  (宗)  zong  tsung,ㄘㄨㄥ  (聰)  cong  ts'ung,ㄙㄨㄥ  (松)  song  sung,合  口  呼
ㄩ  ü,ㄩ  (玉)  yu  yü,,,,,,,ㄋㄩ  (女)  nü  nyu  nü,ㄌㄩ  (呂)  lü  lyu  lü,,,,ㄐㄩ  (居)  ju  jyu  chü,ㄑㄩ  (區)  qu  cyu  ch'ü,ㄒㄩ  (須)  xu  syu  hsü,,,,,,,,撮  口  呼
ㄩㄝ  üe,ㄩㄝ  (約)  yue  yüeh,,,,,,,ㄋㄩㄝ  (虐)  nüe  nyue  nüeh,ㄌㄩㄝ  (略)  lüe  lyue  lüeh,,,,ㄐㄩㄝ  (決)  jue  jyue  chüeh,ㄑㄩㄝ  (缺)  que  cyue  ch'üeh,ㄒㄩㄝ  (靴)  xue  syue  hsüeh,,,,,,,,撮  口  呼
ㄩㄢ  üan,ㄩㄢ  (元)  yuan  yüan,,,,,,,,,,,,ㄐㄩㄢ  (捐)  juan  jyuan  chüan,ㄑㄩㄢ  (圈)  quan  cyuan  ch'üan,ㄒㄩㄢ  (宣)  xuan  syuan  hsüan,,,,,,,,撮  口  呼
ㄩㄣ  ün,ㄩㄣ  (雲)  yun  yün,,,,,,,,,,,,ㄐㄩㄣ  (軍)  jun  jyun  chün,ㄑㄩㄣ  (群)  qun  cyun  ch'ün,ㄒㄩㄣ  (訓)  xun  syun  hsün,,,,,,,,撮  口  呼
ㄩㄥ  iong,ㄩㄥ  (擁)  yong  yung,,,,,,,,,,,,ㄐㄩㄥ  (囧)  jiong  jyong  chiung,ㄑㄩㄥ  (窮)  qiong  cyong  ch'iung,ㄒㄩㄥ  (兄)  xiong  syong  hsiung,,,,,,,,撮  口  呼
,,口唇音,口唇音,口唇音,口唇音,舌尖音,舌尖音,舌尖音,舌尖音,舌根音,舌根音,舌根音,舌面音,舌面音,舌面音,翹舌音,翹舌音,翹舌音,翹舌音,平舌音,平舌音,平舌音,
